User,UPH,Total Units,IPH,Total Items,TIS,%TIS
User1,106.3 / hour,697,70.3 / hour,461,23,5.0%
User2,132.9 / hour,358,96.6 / hour,260,22,8.5%
User3,143.1 / hour,529,97.9 / hour,362,6,1.7%
User4,184.1 / hour,458,124.2 / hour,309,7,2.3%
User5,115.4 / hour,463,69.5 / hour,279,5,1.8%
User6,115.0 / hour,365,79.1 / hour,251,9,3.6%
User7,106.8 / hour,407,78.7 / hour,300,7,2.3%
User8,117.3 / hour,1346,79.8 / hour,916,14,1.5%
User9,109.1 / hour,1523,77.5 / hour,1083,15,1.4%
User10,120.1 / hour,1877,77.7 / hour,1215,22,1.8%
User11,109.3 / hour,421,65.2 / hour,251,4,1.6%
